accno,pval,lfc,condition,GOID,TERM,description
AAG58417.1,1e-4,-0.93,vitro,GO:0019843,rRNA binding,30S ribosomal subunit protein S4 [Escherichia coli O157:H7 str. EDL933]
AAG58417.1,1e-4,-0.93,vitro,GO:0003723,RNA binding,30S ribosomal subunit protein S4 [Escherichia coli O157:H7 str. EDL933]
AAG58417.1,1e-4,-0.93,vitro,GO:0003735,structural constituent of ribosome,30S ribosomal subunit protein S4 [Escherichia coli O157:H7 str. EDL933]
AAG58417.1,1e-4,-0.93,vitro,GO:0006412,translation,30S ribosomal subunit protein S4 [Escherichia coli O157:H7 str. EDL933]
AAG58417.1,1e-4,-0.93,vitro,GO:0015935,small ribosomal subunit,30S ribosomal subunit protein S4 [Escherichia coli O157:H7 str. EDL933]
EFX07617.1,1e-4,0.96,vivo,GO:0016021,integral component of membrane,outer membrane protein A [Escherichia coli O157:H7 str. G5101]
EFX07617.1,1e-4,0.96,vivo,GO:0009279,cell outer membrane,outer membrane protein A [Escherichia coli O157:H7 str. G5101]
EFX07617.1,1e-4,0.96,vivo,GO:0005198,structural molecule activity,outer membrane protein A [Escherichia coli O157:H7 str. G5101]
AAG56699.1,6.7e-4,-0.96,vitro,GO:0003677,DNA binding,"integration host factor (IHF), alpha subunit; site specific recombination [Escherichia coli O157:H7 str. EDL933]"
AAG56699.1,6.7e-4,-0.96,vitro,GO:0006310,DNA recombination,"integration host factor (IHF), alpha subunit; site specific recombination [Escherichia coli O157:H7 str. EDL933]"
AAG56699.1,6.7e-4,-0.96,vitro,GO:0006355,"regulation of transcription, DNA-templated","integration host factor (IHF), alpha subunit; site specific recombination [Escherichia coli O157:H7 str. EDL933]"
P0A7D4,1.4e-4,-0.75,vitro,GO:0004019,adenylosuccinate synthase activity,Adenylosuccinate synthetase OS=Escherichia coli (strain K12) OX=83333 GN=purA PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
P0A7D4,1.4e-4,-0.75,vitro,GO:0005525,GTP binding,Adenylosuccinate synthetase OS=Escherichia coli (strain K12) OX=83333 GN=purA PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
P0A7D4,1.4e-4,-0.75,vitro,GO:0006164,purine nucleotide biosynthetic process,Adenylosuccinate synthetase OS=Escherichia coli (strain K12) OX=83333 GN=purA PE=1 SV=2 UPId=UP000000625 PPId=UP000000625
AAG56768.1,1e-4,-0.54,vitro,GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",glyceraldehyde-3-phosphate dehydrogenase A [Escherichia coli O157:H7 str. EDL933]
AAG56768.1,1e-4,-0.54,vitro,GO:0055114,NA,glyceraldehyde-3-phosphate dehydrogenase A [Escherichia coli O157:H7 str. EDL933]
AAG56768.1,1e-4,-0.54,vitro,GO:0006006,glucose metabolic process,glyceraldehyde-3-phosphate dehydrogenase A [Escherichia coli O157:H7 str. EDL933]
AAG56768.1,1e-4,-0.54,vitro,GO:0050661,"NADP binding",glyceraldehyde-3-phosphate dehydrogenase A [Escherichia coli O157:H7 str. EDL933]
AAG56768.1,1e-4,-0.54,vitro,GO:0051287,"NAD binding",glyceraldehyde-3-phosphate dehydrogenase A [Escherichia coli O157:H7 str. EDL933]
AAG58518.1,0.0013,-0.89,vitro,GO:0005975,carbohydrate metabolic process,maltodextrin phosphorylase [Escherichia coli O157:H7 str. EDL933]
AAG58518.1,0.0013,-0.89,vitro,GO:0008184,glycogen phosphorylase activity,maltodextrin phosphorylase [Escherichia coli O157:H7 str. EDL933]
AAG58518.1,0.0013,-0.89,vitro,GO:0004645,"1,4-alpha-oligoglucan phosphorylase activity",maltodextrin phosphorylase [Escherichia coli O157:H7 str. EDL933]
AAG58518.1,0.0013,-0.89,vitro,GO:0030170,pyridoxal phosphate binding,maltodextrin phosphorylase [Escherichia coli O157:H7 str. EDL933]
A0A377E6N8,5.3e-4,0.54,vivo,GO:0009279,cell outer membrane,Peptidoglycan-associated protein OS=Escherichia coli OX=562 GN=pal PE=3 SV=1 UPId=UP000254088 PPId=UP000000625
A0A377E6N8,5.3e-4,0.54,vivo,GO:0016021,integral component of membrane,Peptidoglycan-associated protein OS=Escherichia coli OX=562 GN=pal PE=3 SV=1 UPId=UP000254088 PPId=UP000000625
AAG55388.1,1e-4,-1.11,vitro,GO:0005737,cytoplasm,formate acetyltransferase 1 [Escherichia coli O157:H7 str. EDL933]
AAG55388.1,1e-4,-1.11,vitro,GO:0005975,carbohydrate metabolic process,formate acetyltransferase 1 [Escherichia coli O157:H7 str. EDL933]
AAG55388.1,1e-4,-1.11,vitro,GO:0008861,formate C-acetyltransferase activity,formate acetyltransferase 1 [Escherichia coli O157:H7 str. EDL933]
AAG55388.1,1e-4,-1.11,vitro,GO:0003824,catalytic activity,formate acetyltransferase 1 [Escherichia coli O157:H7 str. EDL933]
AAG55388.1,1e-4,-1.11,vitro,GO:0008152,metabolic process,formate acetyltransferase 1 [Escherichia coli O157:H7 str. EDL933]
EZA73485.1,1e-4,-0.82,vitro,GO:0003824,catalytic activity,ADP-L-glycero-D-manno-heptose-6-epimerase [Escherichia coli O157:H16 str. 98-3133]
EZA73485.1,1e-4,-0.82,vitro,GO:0050662,NA,ADP-L-glycero-D-manno-heptose-6-epimerase [Escherichia coli O157:H16 str. 98-3133]
EZA73485.1,1e-4,-0.82,vitro,GO:0005975,carbohydrate metabolic process,ADP-L-glycero-D-manno-heptose-6-epimerase [Escherichia coli O157:H16 str. 98-3133]
EZA73485.1,1e-4,-0.82,vitro,GO:0008712,ADP-glyceromanno-heptose 6-epimerase activity,ADP-L-glycero-D-manno-heptose-6-epimerase [Escherichia coli O157:H16 str. 98-3133]
EZA73485.1,1e-4,-0.82,vitro,GO:0050661,"NADP binding",ADP-L-glycero-D-manno-heptose-6-epimerase [Escherichia coli O157:H16 str. 98-3133]
AAG59412.1,0.0039,-0.7,vitro,GO:0046854,phosphatidylinositol phosphorylation,affects pool of 3'-phosphoadenosine-5'-phosphosulfate in pathway of sulfite synthesis [Escherichia coli O157:H7 str. EDL933]
AAG59412.1,0.0039,-0.7,vitro,GO:0000287,magnesium ion binding,affects pool of 3'-phosphoadenosine-5'-phosphosulfate in pathway of sulfite synthesis [Escherichia coli O157:H7 str. EDL933]
AAG59412.1,0.0039,-0.7,vitro,GO:0016020,membrane,affects pool of 3'-phosphoadenosine-5'-phosphosulfate in pathway of sulfite synthesis [Escherichia coli O157:H7 str. EDL933]
AAG55153.1,0.0071,0.54,vivo,GO:0006777,Mo-molybdopterin cofactor biosynthetic process,"molybdopterin biosynthesis, protein B [Escherichia coli O157:H7 str. EDL933]"
AAG58756.1,0.0039,1.19,vivo,GO:0015031,protein transport,protein export; molecular chaperone; may bind to signel sequence [Escherichia coli O157:H7 str. EDL933]
AAG58756.1,0.0039,1.19,vivo,GO:0051082,unfolded protein binding,protein export; molecular chaperone; may bind to signel sequence [Escherichia coli O157:H7 str. EDL933]
AAG58756.1,0.0039,1.19,vivo,GO:0051262,protein tetramerization,protein export; molecular chaperone; may bind to signel sequence [Escherichia coli O157:H7 str. EDL933]
AAG59055.1,0.05,0.52,vivo,GO:0005096,GTPase activator activity,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]"
AAG57705.1,1e-4,-0.59,vitro,GO:0005524,ATP binding,heat shock protein [Escherichia coli O157:H7 str. EDL933]
AAG57705.1,1e-4,-0.59,vitro,GO:0019538,protein metabolic process,heat shock protein [Escherichia coli O157:H7 str. EDL933]
AAG57705.1,1e-4,-0.59,vitro,GO:0005737,cytoplasm,heat shock protein [Escherichia coli O157:H7 str. EDL933]
AAG57705.1,1e-4,-0.59,vitro,GO:0009408,response to heat,heat shock protein [Escherichia coli O157:H7 str. EDL933]
AAG57705.1,1e-4,-0.59,vitro,GO:0016485,protein processing,heat shock protein [Escherichia coli O157:H7 str. EDL933]
AAG59459.1,3.4e-4,0.87,vivo,GO:0004177,aminopeptidase activity,aminopeptidase A/I [Escherichia coli O157:H7 str. EDL933]
AAG59459.1,3.4e-4,0.87,vivo,GO:0005622,intracellular anatomical structure,aminopeptidase A/I [Escherichia coli O157:H7 str. EDL933]
AAG59459.1,3.4e-4,0.87,vivo,GO:0006508,proteolysis,aminopeptidase A/I [Escherichia coli O157:H7 str. EDL933]
AAG59459.1,3.4e-4,0.87,vivo,GO:0005737,cytoplasm,aminopeptidase A/I [Escherichia coli O157:H7 str. EDL933]
AAG59459.1,3.4e-4,0.87,vivo,GO:0008235,metalloexopeptidase activity,aminopeptidase A/I [Escherichia coli O157:H7 str. EDL933]
AAG59459.1,3.4e-4,0.87,vivo,GO:0019538,protein metabolic process,aminopeptidase A/I [Escherichia coli O157:H7 str. EDL933]
AAG59459.1,3.4e-4,0.87,vivo,GO:0030145,manganese ion binding,aminopeptidase A/I [Escherichia coli O157:H7 str. EDL933]
AAG54782.1,0.05,0.8,vivo,GO:0008827,cytochrome o ubiquinol oxidase activity,cytochrome o ubiquinol oxidase subunit II [Escherichia coli O157:H7 str. EDL933]
AAG54782.1,0.05,0.8,vivo,GO:0016021,integral component of membrane,cytochrome o ubiquinol oxidase subunit II [Escherichia coli O157:H7 str. EDL933]
AAG54782.1,0.05,0.8,vivo,GO:0022900,electron transport chain,cytochrome o ubiquinol oxidase subunit II [Escherichia coli O157:H7 str. EDL933]
AAG54782.1,0.05,0.8,vivo,GO:0055114,NA,cytochrome o ubiquinol oxidase subunit II [Escherichia coli O157:H7 str. EDL933]
AAG54782.1,0.05,0.8,vivo,GO:0004129,cytochrome-c oxidase activity,cytochrome o ubiquinol oxidase subunit II [Escherichia coli O157:H7 str. EDL933]
AAG54782.1,0.05,0.8,vivo,GO:0005507,copper ion binding,cytochrome o ubiquinol oxidase subunit II [Escherichia coli O157:H7 str. EDL933]
AAG54782.1,0.05,0.8,vivo,GO:0016020,membrane,cytochrome o ubiquinol oxidase subunit II [Escherichia coli O157:H7 str. EDL933]
AAG54782.1,0.05,0.8,vivo,GO:0016682,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor",cytochrome o ubiquinol oxidase subunit II [Escherichia coli O157:H7 str. EDL933]
A0A377K133,0.011,-0.52,vitro,GO:0003723,RNA binding,50S ribosomal protein L2 OS=Escherichia coli OX=562 GN=rplB PE=3 SV=1 UPId=UP000254181 PPId=UP000000625
A0A377K133,0.011,-0.52,vitro,GO:0003735,structural constituent of ribosome,50S ribosomal protein L2 OS=Escherichia coli OX=562 GN=rplB PE=3 SV=1 UPId=UP000254181 PPId=UP000000625
A0A377K133,0.011,-0.52,vitro,GO:0006412,translation,50S ribosomal protein L2 OS=Escherichia coli OX=562 GN=rplB PE=3 SV=1 UPId=UP000254181 PPId=UP000000625
A0A377K133,0.011,-0.52,vitro,GO:0015934,large ribosomal subunit,50S ribosomal protein L2 OS=Escherichia coli OX=562 GN=rplB PE=3 SV=1 UPId=UP000254181 PPId=UP000000625
A0A377K133,0.011,-0.52,vitro,GO:0016740,transferase activity,50S ribosomal protein L2 OS=Escherichia coli OX=562 GN=rplB PE=3 SV=1 UPId=UP000254181 PPId=UP000000625
A0A377K133,0.011,-0.52,vitro,GO:0005622,intracellular anatomical structure,50S ribosomal protein L2 OS=Escherichia coli OX=562 GN=rplB PE=3 SV=1 UPId=UP000254181 PPId=UP000000625
A0A377K133,0.011,-0.52,vitro,GO:0005840,ribosome,50S ribosomal protein L2 OS=Escherichia coli OX=562 GN=rplB PE=3 SV=1 UPId=UP000254181 PPId=UP000000625
AAG58435.1,1e-4,-0.92,vitro,GO:0003723,RNA binding,30S ribosomal subunit protein S3 [Escherichia coli O157:H7 str. EDL933]
AAG58435.1,1e-4,-0.92,vitro,GO:0003735,structural constituent of ribosome,30S ribosomal subunit protein S3 [Escherichia coli O157:H7 str. EDL933]
AAG58435.1,1e-4,-0.92,vitro,GO:0005840,ribosome,30S ribosomal subunit protein S3 [Escherichia coli O157:H7 str. EDL933]
AAG58435.1,1e-4,-0.92,vitro,GO:0006412,translation,30S ribosomal subunit protein S3 [Escherichia coli O157:H7 str. EDL933]
AAG58435.1,1e-4,-0.92,vitro,GO:0003676,nucleic acid binding,30S ribosomal subunit protein S3 [Escherichia coli O157:H7 str. EDL933]
AAG58435.1,1e-4,-0.92,vitro,GO:0015935,small ribosomal subunit,30S ribosomal subunit protein S3 [Escherichia coli O157:H7 str. EDL933]
AAG59197.1,1e-4,-1.12,vitro,GO:0003677,DNA binding,DNA-binding protein HU-alpha (HU-2) [Escherichia coli O157:H7 str. EDL933]
A0A384LP76,0.038,0.52,vivo,GO:0006826,iron ion transport,Bacterioferritin OS=Shigella flexneri OX=623 GN=bfr PE=3 SV=1 UPId=UP000001006 PPId=UP000000625
A0A384LP76,0.038,0.52,vivo,GO:0006879,cellular iron ion homeostasis,Bacterioferritin OS=Shigella flexneri OX=623 GN=bfr PE=3 SV=1 UPId=UP000001006 PPId=UP000000625
A0A384LP76,0.038,0.52,vivo,GO:0008199,ferric iron binding,Bacterioferritin OS=Shigella flexneri OX=623 GN=bfr PE=3 SV=1 UPId=UP000001006 PPId=UP000000625
AAG58757.1,0.0039,-0.68,vitro,GO:0045454,cell redox homeostasis,glutaredoxin 3 [Escherichia coli O157:H7 str. EDL933]
AAG58757.1,0.0039,-0.68,vitro,GO:0009055,electron transfer activity,glutaredoxin 3 [Escherichia coli O157:H7 str. EDL933]
AAG58757.1,0.0039,-0.68,vitro,GO:0015035,protein disulfide oxidoreductase activity,glutaredoxin 3 [Escherichia coli O157:H7 str. EDL933]
AAG56872.1,0.05,0.81,vivo,GO:0000160,phosphorelay signal transduction system,chemotaxis regulator transmits chemoreceptor signals to flagelllar motor components [Escherichia coli O157:H7 str. EDL933]
AAG58415.1,3.5e-4,-0.53,vitro,GO:0003735,structural constituent of ribosome,50S ribosomal subunit protein L17 [Escherichia coli O157:H7 str. EDL933]
AAG58415.1,3.5e-4,-0.53,vitro,GO:0005622,intracellular anatomical structure,50S ribosomal subunit protein L17 [Escherichia coli O157:H7 str. EDL933]
AAG58415.1,3.5e-4,-0.53,vitro,GO:0005840,ribosome,50S ribosomal subunit protein L17 [Escherichia coli O157:H7 str. EDL933]
AAG58415.1,3.5e-4,-0.53,vitro,GO:0006412,translation,50S ribosomal subunit protein L17 [Escherichia coli O157:H7 str. EDL933]
AAG58320.1,0.05,-0.84,vitro,GO:0003723,RNA binding,50S ribosomal subunit protein L21 [Escherichia coli O157:H7 str. EDL933]
AAG58320.1,0.05,-0.84,vitro,GO:0003735,structural constituent of ribosome,50S ribosomal subunit protein L21 [Escherichia coli O157:H7 str. EDL933]
AAG58320.1,0.05,-0.84,vitro,GO:0005622,intracellular anatomical structure,50S ribosomal subunit protein L21 [Escherichia coli O157:H7 str. EDL933]
AAG58320.1,0.05,-0.84,vitro,GO:0005840,ribosome,50S ribosomal subunit protein L21 [Escherichia coli O157:H7 str. EDL933]
AAG58320.1,0.05,-0.84,vitro,GO:0006412,translation,50S ribosomal subunit protein L21 [Escherichia coli O157:H7 str. EDL933]
A0A376RMX1,0.0065,0.65,vivo,GO:0009279,cell outer membrane,Nucleoside-specific channel-forming protein tsx OS=Escherichia coli OX=562 GN=tsx PE=4 SV=1 UPId=UP000254159 PPId=UP000000625
A0A376RMX1,0.0065,0.65,vivo,GO:0005337,nucleoside transmembrane transporter activity,Nucleoside-specific channel-forming protein tsx OS=Escherichia coli OX=562 GN=tsx PE=4 SV=1 UPId=UP000254159 PPId=UP000000625
AAG56769.1,0.05,-1.2,vitro,GO:0030246,carbohydrate binding,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]"
AAG56769.1,0.05,-1.2,vitro,GO:0005975,carbohydrate metabolic process,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]"
AAG56769.1,0.05,-1.2,vitro,GO:0016853,isomerase activity,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]"
AAG56769.1,0.05,-1.2,vitro,GO:0003824,catalytic activity,"orf, hypothetical protein [Escherichia coli O157:H7 str. EDL933]"
ACI37261.1,1e-4,0.72,vivo,GO:0003824,catalytic activity,glucans biosynthesis protein G [Escherichia coli O157:H7 str. EC4115]
ACI37261.1,1e-4,0.72,vivo,GO:0005975,carbohydrate metabolic process,glucans biosynthesis protein G [Escherichia coli O157:H7 str. EC4115]
ACI37261.1,1e-4,0.72,vivo,GO:0030246,carbohydrate binding,glucans biosynthesis protein G [Escherichia coli O157:H7 str. EC4115]
ACI37261.1,1e-4,0.72,vivo,GO:0016051,carbohydrate biosynthetic process,glucans biosynthesis protein G [Escherichia coli O157:H7 str. EC4115]
ACI37261.1,1e-4,0.72,vivo,GO:0042597,periplasmic space,glucans biosynthesis protein G [Escherichia coli O157:H7 str. EC4115]
AAG58067.1,0.05,0.74,vivo,GO:0016813,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines",agmatinase [Escherichia coli O157:H7 str. EDL933]
AAG58067.1,0.05,0.74,vivo,GO:0046872,metal ion binding,agmatinase [Escherichia coli O157:H7 str. EDL933]
AAG58067.1,0.05,0.74,vivo,GO:0008783,agmatinase activity,agmatinase [Escherichia coli O157:H7 str. EDL933]
AAG58067.1,0.05,0.74,vivo,GO:0009446,putrescine biosynthetic process,agmatinase [Escherichia coli O157:H7 str. EDL933]
AAG58067.1,0.05,0.74,vivo,GO:0030145,manganese ion binding,agmatinase [Escherichia coli O157:H7 str. EDL933]
AAG58052.1,1e-4,-0.9,vitro,GO:0004618,phosphoglycerate kinase activity,phosphoglycerate kinase [Escherichia coli O157:H7 str. EDL933]
AAG58052.1,1e-4,-0.9,vitro,GO:0006096,glycolytic process,phosphoglycerate kinase [Escherichia coli O157:H7 str. EDL933]
AAG54562.1,1e-4,-0.54,vitro,GO:0006508,proteolysis,aminoacyl-histidine dipeptidase (peptidase D) [Escherichia coli O157:H7 str. EDL933]
AAG54562.1,1e-4,-0.54,vitro,GO:0008152,metabolic process,aminoacyl-histidine dipeptidase (peptidase D) [Escherichia coli O157:H7 str. EDL933]
AAG54562.1,1e-4,-0.54,vitro,GO:0016787,hydrolase activity,aminoacyl-histidine dipeptidase (peptidase D) [Escherichia coli O157:H7 str. EDL933]
A0A376T4K6,0.05,0.71,vivo,GO:0005996,monosaccharide metabolic process,D-ribose pyranase OS=Escherichia coli OX=562 GN=rbsD PE=3 SV=1 UPId=UP000255260 PPId=UP000000625
A0A376T4K6,0.05,0.71,vivo,GO:0016853,isomerase activity,D-ribose pyranase OS=Escherichia coli OX=562 GN=rbsD PE=3 SV=1 UPId=UP000255260 PPId=UP000000625
A0A376T4K6,0.05,0.71,vivo,GO:0048029,monosaccharide binding,D-ribose pyranase OS=Escherichia coli OX=562 GN=rbsD PE=3 SV=1 UPId=UP000255260 PPId=UP000000625
A0A376T4K6,0.05,0.71,vivo,GO:0016872,intramolecular lyase activity,D-ribose pyranase OS=Escherichia coli OX=562 GN=rbsD PE=3 SV=1 UPId=UP000255260 PPId=UP000000625
AAG54458.1,0.0039,-0.69,vitro,GO:0008483,transaminase activity,glutamate-1-semialdehyde aminotransferase (aminomutase) [Escherichia coli O157:H7 str. EDL933]
AAG54458.1,0.0039,-0.69,vitro,GO:0030170,pyridoxal phosphate binding,glutamate-1-semialdehyde aminotransferase (aminomutase) [Escherichia coli O157:H7 str. EDL933]
AAG54458.1,0.0039,-0.69,vitro,GO:0003824,catalytic activity,glutamate-1-semialdehyde aminotransferase (aminomutase) [Escherichia coli O157:H7 str. EDL933]
AAG54458.1,0.0039,-0.69,vitro,GO:0033014,tetrapyrrole biosynthetic process,glutamate-1-semialdehyde aminotransferase (aminomutase) [Escherichia coli O157:H7 str. EDL933]
AAG54458.1,0.0039,-0.69,vitro,GO:0042286,"glutamate-1-semialdehyde 2,1-aminomutase activity",glutamate-1-semialdehyde aminotransferase (aminomutase) [Escherichia coli O157:H7 str. EDL933]
AAG55006.1,0.05,0.59,vivo,GO:0003700,DNA-binding transcription factor activity,negative regulator [Escherichia coli O157:H7 str. EDL933]
AAG55006.1,0.05,0.59,vivo,GO:0006355,"regulation of transcription, DNA-templated",negative regulator [Escherichia coli O157:H7 str. EDL933]
A0A376MJI9,0.05,-0.94,vitro,GO:0003735,structural constituent of ribosome,50S ribosomal protein L30 OS=Escherichia coli OX=562 GN=rpmD PE=3 SV=1 UPId=UP000254817 PPId=UP000000625
A0A376MJI9,0.05,-0.94,vitro,GO:0006412,translation,50S ribosomal protein L30 OS=Escherichia coli OX=562 GN=rpmD PE=3 SV=1 UPId=UP000254817 PPId=UP000000625
A0A376MJI9,0.05,-0.94,vitro,GO:0015934,large ribosomal subunit,50S ribosomal protein L30 OS=Escherichia coli OX=562 GN=rpmD PE=3 SV=1 UPId=UP000254817 PPId=UP000000625
AAG58434.1,0.0039,-1.31,vitro,GO:0003735,structural constituent of ribosome,50S ribosomal subunit protein L16 [Escherichia coli O157:H7 str. EDL933]
AAG58434.1,0.0039,-1.31,vitro,GO:0005840,ribosome,50S ribosomal subunit protein L16 [Escherichia coli O157:H7 str. EDL933]
AAG58434.1,0.0039,-1.31,vitro,GO:0006412,translation,50S ribosomal subunit protein L16 [Escherichia coli O157:H7 str. EDL933]
AAG58434.1,0.0039,-1.31,vitro,GO:0005622,intracellular anatomical structure,50S ribosomal subunit protein L16 [Escherichia coli O157:H7 str. EDL933]
AAG58434.1,0.0039,-1.31,vitro,GO:0019843,rRNA binding,50S ribosomal subunit protein L16 [Escherichia coli O157:H7 str. EDL933]
AAG55101.1,0.05,1,vivo,GO:0005618,cell wall,putative pectinesterase [Escherichia coli O157:H7 str. EDL933]
AAG55101.1,0.05,1,vivo,GO:0030599,pectinesterase activity,putative pectinesterase [Escherichia coli O157:H7 str. EDL933]
AAG55101.1,0.05,1,vivo,GO:0042545,cell wall modification,putative pectinesterase [Escherichia coli O157:H7 str. EDL933]
